題號,類別,題目,解答
430,分割、改請,發明專利申請案核准審定後想申請分割，可以從已經核准審定的申請專利範圍分割出部分請求項嗎？,不可以。僅得自原申請案之說明書或圖式所揭露之發明，且非屬原申請案核准審定之申請專利範圍申請分割。原申請案經核准審定之說明書、申請專利範圍或圖式不得變動。
431,分割、改請,申請案核駁審定或核駁處分後，可以申請分割嗎？,發明或設計專利核駁審定後，因案件已非繫屬於本局，所以不得分割；惟如於法定期間提起再審查申請，使案件重行繫屬本局，此時於再審查審定前，得為分割之申請。
432,分割、改請,在發明專利申請案初審或再審查核准審定後提出的分割申請案應續行之程序為何？,初審核准審定後分割申請案，應續行原申請案核准審定前之審查程序；再審查核准審定後分割申請案，應續行原申請案核准審定前之再審查程序。
433,分割、改請,主張國內優先權之後申請案經核准審定，惟申請人逾法定期間未繳費領證，其專利權依法不予公告。該先申請案於視為撤回前（申請日起15個月內），可以申請分割嗎？,不可以。基於先申請案業已為後申請案適法主張優先權，先申請案之技術內容已由後案承繼並經審查確定，後案未繳費領證係申請人自行放棄權利，先申請案並無得予分割申請之適用。
434,分割、改請,分割案與原申請案的申請人、發明人、代理人必須相同嗎？,"(1) 分割申請案之申請人應與原申請案之申請人相同，如不相同時，可就原申請案辦理申請權讓與，使分割申請案與原申請案之申請人相同。原申請案之申請人亦可僅將分割部分之專利申請權讓與分割申請人，而保留原申請案之申請人地位，此時原申請案與分割案之申請人可例外不同。
(2) 發明人只可以由母案的發明人減少，不可增加或者不同。
(3) 申請分割案之代理人得與原案代理人不一致，但要重送委任狀。"
435,分割、改請,申請分割要檢送什麼文件？原申請案已檢送的委任書、優先權、優惠期或生物材料寄存證明文件要重新檢附嗎？,原申請案之委任書、優先權證明等文件因已見於原申請案內，無庸再行檢送，但生物材料寄存證明文件仍須檢送。
436,分割、改請,發明或設計專利於再審查階段申請分割，分割案是進行初審程序或再審查程序？,分割後之申請案，應就原申請案已完成之程序續行審查，所以是直接進行再審查程序。
437,分割、改請,分割申請案也會公開嗎？,"會。
申請日或優先權日起算18個月後公開。如超過18個月所做之分割，本局會以最近ㄧ期可以排定公開的時間，公開該分割申請案。"
438,分割、改請,分割申請案之委任書是否要另外送ㄧ份新的委任書？,"不用。
分割申請案如委任之代理人與原申請案之代理人相同者，無庸檢送委任書。但如果與原申請案之代理人不相同者，仍應檢送新代理人之委任書。"
439,分割、改請,專利申請案於再審查階段時提出分割申請，分割子案要繳再審查的費用嗎？分割出來之子案若為核駁審定，後續應進行何種程序？,"(1)要。分割子案要繳再審查的費用及分割申請費用。
(2)應循訴願程序。
"
440,分割、改請,何謂改請？改請的態樣為何？,"(1) 申請專利後，申請人如發現其申請專利之種類錯誤，或認有變更其原申請案專利種類之必要時，得經由改請程序而改為合法及符合申請人權益之其他專利種類之申請案，並以改請前原申請案之申請日，作為改請後新申請案之申請日，以避免影響專利要件之判斷。
(2) 改請之態樣有：  
A. 不同專利種類間之改請：
a. 發明改請新型。
 b. 發明改請設計。
 c. 新型改請發明。
 d. 新型改請設計。
 e. 設計改請新型。
B. 相同專利種類之改請：
a. 獨立設計改請衍生設計。
b. 衍生設計改請獨立設計。"
441,分割、改請,申請改請，有何期間限制？,若原申請案准予專利者，改請的申請最遲應於准予專利之審定書或處分書送達前。若原申請案為發明或設計不准予專利者，改請的申請最遲應於初審、再審查審定書送達後2個月內提出。若原申請案為新型不准予專利者，改請的申請最遲應於處分書送達後30天內提出。
442,分割、改請,已經核准審定(處分)的專利案，可以申請改請嗎？,原申請案准予專利之審定書、處分書送達後不得改請。
443,分割、改請,已經核駁審定(處分)的專利案，改請及再審查(訴願)只能擇一嗎？,發明、設計專利於初審不予專利之審定書送達後，僅得就申請再審查或改請擇一為之；新型專利於不予專利之處分書送達後，僅得就申請訴願或改請擇一為之。
444,分割、改請,改請案與原申請案的申請人、發明人、代理人必須相同嗎？,"(1) 改請申請案之申請人應與原申請案之申請人相同，如不相同時，可就原申請案辦理申請權讓與，使改請申請案與原申請案之申請人相同。
(2) 發明人必須完全相同。
(3) 申請人得委任其他代理人辦理並同時辦理變更代理人。"
445,分割、改請,申請改請應檢附什麼文件？原申請案已檢送的委任書、優先權、優惠期或生物材料寄存證明文件要重新檢附嗎？,原申請案改請為發明或新型者，應檢送改請申請書、說明書、申請專利範圍及圖式；改請為設計者，應檢送改請申請書、說明書及圖式。改請案，仍以原申請案之申請日為申請日，如於申請時聲明者，並得援用申請案之優先權或生物材料寄存之主張。原申請案如符合優惠期相關規定者，改請案亦得援用。故原申請案之委任書、優先權證明、優惠期或生物材料寄存證明等文件如已見於原申請案者，無庸再行檢送。
446,分割、改請,專利申請人就專利申請案，可以分割一併改請嗎？提出申請時要注意什麼事？,"專利申請人如有從原申請案分割出子案，並同時將子案改請專利種類之需求，請注意下列事項：
（1）請直接使用專利改請申請書表提出申請，並於「原申請案號」欄位註明「本分割改請案係自第XXXXXXXXX號申請案分割同時改請」或「本分割改請案係自第XXXXXXXXX號設計申請案分割同時改請為第XXXXXXXXX號設計申請案之衍生設計」即可，不需分別備具分割申請書及改請申請書。
（2）申請人仍須繳納分割申請費及改請申請費二筆規費。但設計專利申請案申請分割並同時改請為衍生設計申請案，或衍生設計專利申請案申請分割並同時改請為設計專利申請案，僅須繳納一筆規費。
（3）本局將僅就改請後之申請案編給案號，分割案不再另編案號。
（4）申請人如以電子方式提出分割同時改請之申請案，亦請直接使用改請申請書表提出申請，並於【分割同時改請】欄位註明「是」，此分割改請之電子申請行為因屬同一電子申請案，故只能減收申請規費一次。"
447,分割、改請,收到發明專利審查意見通知後改請為新型專利，可以再改請回為發明專利嗎？,不可以。原申請案一經改請，若該原申請案業經實體審查，發出第1次審查意見通知，基於「禁止重複審查」之法理，不得將改請案再改請為原申請案之種類。
